0,Nro,Ratio,Desvio,Variables importantes,Eliminadas,Ganancia,Semilla
Ratio,,,,,,,
Desvio,1.0,1.25,-2.0,4.0,97.41935483870968,616000.0,191173.0
Semilla,2.0,1.25,-1.0,23.0,85.16129032258064,131348000.0,191173.0
Nro,3.0,1.25,0.0,24.0,84.51612903225806,134309000.0,191173.0
Eliminadas,4.0,1.25,1.0,26.0,83.2258064516129,134120000.0,191173.0
Variables importantes,5.0,1.25,2.0,44.0,71.61290322580645,137564000.0,191173.0
Ganancia,6.0,1.5,-2.0,29.0,81.29032258064517,139139000.0,191173.0
,7.0,1.5,-1.0,57.0,63.225806451612904,139314000.0,191173.0
,8.0,1.5,0.0,65.0,58.064516129032256,140042000.0,191173.0
,9.0,1.5,1.0,71.0,54.193548387096776,145257000.0,191173.0
,10.0,1.5,2.0,102.0,34.193548387096776,142317000.0,191173.0
,11.0,1.75,-2.0,23.0,85.16129032258064,142205000.0,191173.0
,12.0,1.75,-1.0,57.0,63.225806451612904,144627000.0,191173.0
,13.0,1.75,0.0,65.0,58.064516129032256,140868000.0,191173.0
,14.0,1.75,1.0,73.0,52.903225806451616,144088000.0,191173.0
,15.0,1.75,2.0,108.0,30.322580645161292,142709000.0,191173.0
,16.0,2.0,-2.0,29.0,81.29032258064517,138915000.0,191173.0
,17.0,2.0,-1.0,61.0,60.645161290322584,144375000.0,191173.0
,18.0,2.0,0.0,74.0,52.25806451612903,143479000.0,191173.0
,19.0,2.0,1.0,76.0,50.96774193548387,142975000.0,191173.0
,20.0,2.0,2.0,122.0,21.29032258064516,143577000.0,191173.0
,21.0,2.25,-2.0,21.0,86.45161290322581,136227000.0,191173.0
,22.0,2.25,-1.0,60.0,61.29032258064516,145866000.0,191173.0
,23.0,2.25,0.0,66.0,57.41935483870968,145705000.0,191173.0
,24.0,2.25,1.0,75.0,51.61290322580645,144375000.0,191173.0
,25.0,2.25,2.0,111.0,28.387096774193548,143199000.0,191173.0
,26.0,2.5,-2.0,2.0,98.70967741935483,0.0,191173.0
,27.0,2.5,-1.0,27.0,82.58064516129032,132685000.0,191173.0
,28.0,2.5,0.0,29.0,81.29032258064517,137487000.0,191173.0
,29.0,2.5,1.0,33.0,78.70967741935483,136374000.0,191173.0
,30.0,2.5,2.0,66.0,57.41935483870968,144074000.0,191173.0
,31.0,2.75,-2.0,11.0,92.90322580645162,120379000.0,191173.0
,32.0,2.75,-1.0,59.0,61.935483870967744,142352000.0,191173.0
,33.0,2.75,0.0,67.0,56.774193548387096,143283000.0,191173.0
,34.0,2.75,1.0,77.0,50.32258064516129,144270000.0,191173.0
,35.0,2.75,2.0,127.0,18.06451612903226,144389000.0,191173.0
,36.0,3.0,-2.0,11.0,92.90322580645162,111629000.0,191173.0
,37.0,3.0,-1.0,58.0,62.58064516129032,144557000.0,191173.0
,38.0,3.0,0.0,70.0,54.83870967741935,141764000.0,191173.0
,39.0,3.0,1.0,74.0,52.25806451612903,140868000.0,191173.0
,40.0,3.0,2.0,133.0,14.193548387096774,143199000.0,191173.0
,41.0,3.25,-2.0,2.0,98.70967741935483,0.0,191173.0
,42.0,3.25,-1.0,46.0,70.3225806451613,142674000.0,191173.0
,43.0,3.25,0.0,56.0,63.87096774193548,143997000.0,191173.0
,44.0,3.25,1.0,58.0,62.58064516129032,142541000.0,191173.0
,45.0,3.25,2.0,111.0,28.387096774193548,142758000.0,191173.0
,46.0,3.5,-2.0,2.0,98.70967741935483,0.0,191173.0
,47.0,3.5,-1.0,59.0,61.935483870967744,143521000.0,191173.0
,48.0,3.5,0.0,62.0,60.0,143997000.0,191173.0
,49.0,3.5,1.0,70.0,54.83870967741935,145299000.0,191173.0
,50.0,3.5,2.0,122.0,21.29032258064516,145782000.0,191173.0
,51.0,3.75,-2.0,2.0,98.70967741935483,0.0,191173.0
,52.0,3.75,-1.0,50.0,67.74193548387096,140539000.0,191173.0
,53.0,3.75,0.0,59.0,61.935483870967744,142520000.0,191173.0
,54.0,3.75,1.0,65.0,58.064516129032256,144298000.0,191173.0
,55.0,3.75,2.0,125.0,19.35483870967742,142086000.0,191173.0
,56.0,4.0,-2.0,3.0,98.06451612903226,0.0,191173.0
,57.0,4.0,-1.0,63.0,59.354838709677416,145089000.0,191173.0
,58.0,4.0,0.0,74.0,52.25806451612903,144130000.0,191173.0
,59.0,4.0,1.0,81.0,47.74193548387097,145740000.0,191173.0
,60.0,4.0,2.0,147.0,5.161290322580645,142758000.0,191173.0
,61.0,1.25,-2.0,26.0,83.2258064516129,140056000.0,371311.0
,62.0,1.25,-1.0,53.0,65.80645161290323,140777000.0,371311.0
,63.0,1.25,0.0,60.0,61.29032258064516,143038000.0,371311.0
,64.0,1.25,1.0,67.0,56.774193548387096,140952000.0,371311.0
,65.0,1.25,2.0,94.0,39.354838709677416,142219000.0,371311.0
,66.0,1.5,-2.0,12.0,92.25806451612904,118181000.0,371311.0
,67.0,1.5,-1.0,41.0,73.54838709677419,139482000.0,371311.0
,68.0,1.5,0.0,48.0,69.03225806451613,144011000.0,371311.0
,69.0,1.5,1.0,55.0,64.51612903225806,142807000.0,371311.0
,70.0,1.5,2.0,84.0,45.806451612903224,142793000.0,371311.0
,71.0,1.75,-2.0,2.0,98.70967741935483,0.0,371311.0
,72.0,1.75,-1.0,26.0,83.2258064516129,134876000.0,371311.0
,73.0,1.75,0.0,30.0,80.64516129032258,139839000.0,371311.0
,74.0,1.75,1.0,32.0,79.35483870967742,140462000.0,371311.0
,75.0,1.75,2.0,60.0,61.29032258064516,145383000.0,371311.0
,76.0,2.0,-2.0,11.0,92.90322580645162,118699000.0,371311.0
,77.0,2.0,-1.0,58.0,62.58064516129032,141918000.0,371311.0
,78.0,2.0,0.0,63.0,59.354838709677416,143913000.0,371311.0
,79.0,2.0,1.0,77.0,50.32258064516129,141841000.0,371311.0
,80.0,2.0,2.0,125.0,19.35483870967742,142751000.0,371311.0
,81.0,2.25,-2.0,19.0,87.74193548387096,138481000.0,371311.0
,82.0,2.25,-1.0,60.0,61.29032258064516,145124000.0,371311.0
,83.0,2.25,0.0,67.0,56.774193548387096,145005000.0,371311.0
,84.0,2.25,1.0,79.0,49.03225806451613,142800000.0,371311.0
,85.0,2.25,2.0,115.0,25.806451612903224,144417000.0,371311.0
,86.0,2.5,-2.0,16.0,89.6774193548387,132811000.0,371311.0
,87.0,2.5,-1.0,57.0,63.225806451612904,143276000.0,371311.0
,88.0,2.5,0.0,68.0,56.12903225806452,143150000.0,371311.0
,89.0,2.5,1.0,75.0,51.61290322580645,141533000.0,371311.0
,90.0,2.5,2.0,120.0,22.580645161290324,145264000.0,371311.0
,91.0,2.75,-2.0,10.0,93.54838709677419,113575000.0,371311.0
,92.0,2.75,-1.0,57.0,63.225806451612904,143423000.0,371311.0
,93.0,2.75,0.0,62.0,60.0,144242000.0,371311.0
,94.0,2.75,1.0,70.0,54.83870967741935,142702000.0,371311.0
,95.0,2.75,2.0,114.0,26.451612903225808,142632000.0,371311.0
,96.0,3.0,-2.0,2.0,98.70967741935483,0.0,371311.0
,97.0,3.0,-1.0,50.0,67.74193548387096,145985000.0,371311.0
,98.0,3.0,0.0,56.0,63.87096774193548,143465000.0,371311.0
,99.0,3.0,1.0,66.0,57.41935483870968,139069000.0,371311.0
,100.0,3.0,2.0,110.0,29.032258064516128,140637000.0,371311.0
,101.0,3.25,-2.0,13.0,91.61290322580645,133238000.0,371311.0
,102.0,3.25,-1.0,62.0,60.0,142793000.0,371311.0
,103.0,3.25,0.0,72.0,53.54838709677419,145166000.0,371311.0
,104.0,3.25,1.0,79.0,49.03225806451613,142688000.0,371311.0
,105.0,3.25,2.0,131.0,15.483870967741936,143465000.0,371311.0
,106.0,3.5,-2.0,8.0,94.83870967741936,114485000.0,371311.0
,107.0,3.5,-1.0,62.0,60.0,141799000.0,371311.0
,108.0,3.5,0.0,72.0,53.54838709677419,143115000.0,371311.0
,109.0,3.5,1.0,78.0,49.67741935483871,142345000.0,371311.0
,110.0,3.5,2.0,136.0,12.258064516129032,146531000.0,371311.0
,111.0,3.75,-2.0,7.0,95.48387096774194,100765000.0,371311.0
,112.0,3.75,-1.0,62.0,60.0,143801000.0,371311.0
,113.0,3.75,0.0,76.0,50.96774193548387,143206000.0,371311.0
,114.0,3.75,1.0,83.0,46.45161290322581,142212000.0,371311.0
,115.0,3.75,2.0,147.0,5.161290322580645,142842000.0,371311.0
,116.0,4.0,-2.0,2.0,98.70967741935483,0.0,371311.0
,117.0,4.0,-1.0,61.0,60.645161290322584,143913000.0,371311.0
,118.0,4.0,0.0,72.0,53.54838709677419,141596000.0,371311.0
,119.0,4.0,1.0,81.0,47.74193548387097,141260000.0,371311.0
,120.0,4.0,2.0,146.0,5.806451612903226,144914000.0,371311.0
,121.0,1.25,-2.0,10.0,93.54838709677419,104062000.0,644117.0
,122.0,1.25,-1.0,39.0,74.83870967741936,145110000.0,644117.0
,123.0,1.25,0.0,46.0,70.3225806451613,140910000.0,644117.0
,124.0,1.25,1.0,60.0,61.29032258064516,138572000.0,644117.0
,125.0,1.25,2.0,82.0,47.096774193548384,141848000.0,644117.0
,126.0,1.5,-2.0,25.0,83.87096774193549,137956000.0,644117.0
,127.0,1.5,-1.0,53.0,65.80645161290323,142247000.0,644117.0
,128.0,1.5,0.0,60.0,61.29032258064516,142338000.0,644117.0
,129.0,1.5,1.0,68.0,56.12903225806452,144767000.0,644117.0
,130.0,1.5,2.0,95.0,38.70967741935484,141701000.0,644117.0
,131.0,1.75,-2.0,29.0,81.29032258064517,139314000.0,644117.0
,132.0,1.75,-1.0,59.0,61.935483870967744,137403000.0,644117.0
,133.0,1.75,0.0,67.0,56.774193548387096,141295000.0,644117.0
,134.0,1.75,1.0,71.0,54.193548387096776,142401000.0,644117.0
,135.0,1.75,2.0,105.0,32.25806451612903,142177000.0,644117.0
,136.0,2.0,-2.0,11.0,92.90322580645162,125594000.0,644117.0
,137.0,2.0,-1.0,50.0,67.74193548387096,142051000.0,644117.0
,138.0,2.0,0.0,55.0,64.51612903225806,140980000.0,644117.0
,139.0,2.0,1.0,66.0,57.41935483870968,143486000.0,644117.0
,140.0,2.0,2.0,99.0,36.12903225806452,145033000.0,644117.0
,141.0,2.25,-2.0,16.0,89.6774193548387,134400000.0,644117.0
,142.0,2.25,-1.0,53.0,65.80645161290323,144256000.0,644117.0
,143.0,2.25,0.0,63.0,59.354838709677416,144004000.0,644117.0
,144.0,2.25,1.0,70.0,54.83870967741935,143542000.0,644117.0
,145.0,2.25,2.0,110.0,29.032258064516128,139888000.0,644117.0
,146.0,2.5,-2.0,14.0,90.96774193548387,131649000.0,644117.0
,147.0,2.5,-1.0,61.0,60.645161290322584,143927000.0,644117.0
,148.0,2.5,0.0,70.0,54.83870967741935,144466000.0,644117.0
,149.0,2.5,1.0,81.0,47.74193548387097,144746000.0,644117.0
,150.0,2.5,2.0,133.0,14.193548387096774,144186000.0,644117.0
,151.0,2.75,-2.0,2.0,98.70967741935483,0.0,644117.0
,152.0,2.75,-1.0,31.0,80.0,140546000.0,644117.0
,153.0,2.75,0.0,33.0,78.70967741935483,138656000.0,644117.0
,154.0,2.75,1.0,38.0,75.48387096774194,141463000.0,644117.0
,155.0,2.75,2.0,77.0,50.32258064516129,146062000.0,644117.0
,156.0,3.0,-2.0,8.0,94.83870967741936,110502000.0,644117.0
,157.0,3.0,-1.0,64.0,58.70967741935484,143871000.0,644117.0
,158.0,3.0,0.0,72.0,53.54838709677419,140406000.0,644117.0
,159.0,3.0,1.0,82.0,47.096774193548384,140175000.0,644117.0
,160.0,3.0,2.0,141.0,9.03225806451613,138789000.0,644117.0
,161.0,3.25,-2.0,8.0,94.83870967741936,108080000.0,644117.0
,162.0,3.25,-1.0,64.0,58.70967741935484,141925000.0,644117.0
,163.0,3.25,0.0,68.0,56.12903225806452,143766000.0,644117.0
,164.0,3.25,1.0,82.0,47.096774193548384,142226000.0,644117.0
,165.0,3.25,2.0,129.0,16.774193548387096,143654000.0,644117.0
,166.0,3.5,-2.0,2.0,98.70967741935483,0.0,644117.0
,167.0,3.5,-1.0,34.0,78.06451612903226,139216000.0,644117.0
,168.0,3.5,0.0,42.0,72.90322580645162,139986000.0,644117.0
,169.0,3.5,1.0,48.0,69.03225806451613,140259000.0,644117.0
,170.0,3.5,2.0,98.0,36.774193548387096,146909000.0,644117.0
,171.0,3.75,-2.0,4.0,97.41935483870968,5208000.0,644117.0
,172.0,3.75,-1.0,64.0,58.70967741935484,142345000.0,644117.0
,173.0,3.75,0.0,73.0,52.903225806451616,142198000.0,644117.0
,174.0,3.75,1.0,82.0,47.096774193548384,141477000.0,644117.0
,175.0,3.75,2.0,143.0,7.741935483870968,144088000.0,644117.0
,176.0,4.0,-2.0,2.0,98.70967741935483,0.0,644117.0
,177.0,4.0,-1.0,65.0,58.064516129032256,141736000.0,644117.0
,178.0,4.0,0.0,70.0,54.83870967741935,141988000.0,644117.0
,179.0,4.0,1.0,78.0,49.67741935483871,139531000.0,644117.0
,180.0,4.0,2.0,141.0,9.03225806451613,142506000.0,644117.0
,181.0,1.25,-2.0,15.0,90.3225806451613,129143000.0,998377.0
,182.0,1.25,-1.0,40.0,74.19354838709677,136675000.0,998377.0
,183.0,1.25,0.0,47.0,69.6774193548387,139643000.0,998377.0
,184.0,1.25,1.0,53.0,65.80645161290323,144340000.0,998377.0
,185.0,1.25,2.0,79.0,49.03225806451613,141169000.0,998377.0
,186.0,1.5,-2.0,16.0,89.6774193548387,130732000.0,998377.0
,187.0,1.5,-1.0,45.0,70.96774193548387,143780000.0,998377.0
,188.0,1.5,0.0,57.0,63.225806451612904,144431000.0,998377.0
,189.0,1.5,1.0,66.0,57.41935483870968,145880000.0,998377.0
,190.0,1.5,2.0,98.0,36.774193548387096,141869000.0,998377.0
,191.0,1.75,-2.0,14.0,90.96774193548387,125209000.0,998377.0
,192.0,1.75,-1.0,48.0,69.03225806451613,139244000.0,998377.0
,193.0,1.75,0.0,59.0,61.935483870967744,142499000.0,998377.0
,194.0,1.75,1.0,70.0,54.83870967741935,141211000.0,998377.0
,195.0,1.75,2.0,104.0,32.903225806451616,144823000.0,998377.0
,196.0,2.0,-2.0,11.0,92.90322580645162,125594000.0,998377.0
,197.0,2.0,-1.0,45.0,70.96774193548387,142086000.0,998377.0
,198.0,2.0,0.0,55.0,64.51612903225806,142541000.0,998377.0
,199.0,2.0,1.0,62.0,60.0,143941000.0,998377.0
,200.0,2.0,2.0,100.0,35.483870967741936,144571000.0,998377.0
,201.0,2.25,-2.0,23.0,85.16129032258064,141806000.0,998377.0
,202.0,2.25,-1.0,59.0,61.935483870967744,139503000.0,998377.0
,203.0,2.25,0.0,71.0,54.193548387096776,143367000.0,998377.0
,204.0,2.25,1.0,78.0,49.67741935483871,143731000.0,998377.0
,205.0,2.25,2.0,119.0,23.225806451612904,143080000.0,998377.0
,206.0,2.5,-2.0,21.0,86.45161290322581,138607000.0,998377.0
,207.0,2.5,-1.0,59.0,61.935483870967744,142240000.0,998377.0
,208.0,2.5,0.0,68.0,56.12903225806452,141848000.0,998377.0
,209.0,2.5,1.0,73.0,52.903225806451616,146440000.0,998377.0
,210.0,2.5,2.0,115.0,25.806451612903224,141225000.0,998377.0
,211.0,2.75,-2.0,13.0,91.61290322580645,125125000.0,998377.0
,212.0,2.75,-1.0,58.0,62.58064516129032,142835000.0,998377.0
,213.0,2.75,0.0,67.0,56.774193548387096,142296000.0,998377.0
,214.0,2.75,1.0,76.0,50.96774193548387,145586000.0,998377.0
,215.0,2.75,2.0,121.0,21.93548387096774,144137000.0,998377.0
,216.0,3.0,-2.0,2.0,98.70967741935483,0.0,998377.0
,217.0,3.0,-1.0,50.0,67.74193548387096,144676000.0,998377.0
,218.0,3.0,0.0,56.0,63.87096774193548,140266000.0,998377.0
,219.0,3.0,1.0,62.0,60.0,143269000.0,998377.0
,220.0,3.0,2.0,110.0,29.032258064516128,142345000.0,998377.0
,221.0,3.25,-2.0,2.0,98.70967741935483,0.0,998377.0
,222.0,3.25,-1.0,38.0,75.48387096774194,140084000.0,998377.0
,223.0,3.25,0.0,44.0,71.61290322580645,139594000.0,998377.0
,224.0,3.25,1.0,50.0,67.74193548387096,140952000.0,998377.0
,225.0,3.25,2.0,99.0,36.12903225806452,145068000.0,998377.0
,226.0,3.5,-2.0,2.0,98.70967741935483,0.0,998377.0
,227.0,3.5,-1.0,59.0,61.935483870967744,141071000.0,998377.0
,228.0,3.5,0.0,70.0,54.83870967741935,146195000.0,998377.0
,229.0,3.5,1.0,78.0,49.67741935483871,145649000.0,998377.0
,230.0,3.5,2.0,148.0,4.516129032258065,142730000.0,998377.0
,231.0,3.75,-2.0,2.0,98.70967741935483,0.0,998377.0
,232.0,3.75,-1.0,68.0,56.12903225806452,146230000.0,998377.0
,233.0,3.75,0.0,75.0,51.61290322580645,142842000.0,998377.0
,234.0,3.75,1.0,80.0,48.38709677419355,141960000.0,998377.0
,235.0,3.75,2.0,153.0,1.2903225806451613,143675000.0,998377.0
,236.0,4.0,-2.0,2.0,98.70967741935483,0.0,998377.0
,237.0,4.0,-1.0,39.0,74.83870967741936,139608000.0,998377.0
,238.0,4.0,0.0,46.0,70.3225806451613,141169000.0,998377.0
,239.0,4.0,1.0,54.0,65.16129032258064,141827000.0,998377.0
,240.0,4.0,2.0,110.0,29.032258064516128,143451000.0,998377.0
,241.0,1.25,-2.0,23.0,85.16129032258064,137739000.0,800161.0
,242.0,1.25,-1.0,56.0,63.87096774193548,143339000.0,800161.0
,243.0,1.25,0.0,65.0,58.064516129032256,143584000.0,800161.0
,244.0,1.25,1.0,77.0,50.32258064516129,142807000.0,800161.0
,245.0,1.25,2.0,112.0,27.741935483870968,142450000.0,800161.0
,246.0,1.5,-2.0,25.0,83.87096774193549,140833000.0,800161.0
,247.0,1.5,-1.0,57.0,63.225806451612904,142730000.0,800161.0
,248.0,1.5,0.0,63.0,59.354838709677416,141491000.0,800161.0
,249.0,1.5,1.0,71.0,54.193548387096776,144774000.0,800161.0
,250.0,1.5,2.0,102.0,34.193548387096776,143045000.0,800161.0
,251.0,1.75,-2.0,25.0,83.87096774193549,136696000.0,800161.0
,252.0,1.75,-1.0,60.0,61.29032258064516,140721000.0,800161.0
,253.0,1.75,0.0,68.0,56.12903225806452,144571000.0,800161.0
,254.0,1.75,1.0,77.0,50.32258064516129,142240000.0,800161.0
,255.0,1.75,2.0,117.0,24.516129032258064,144886000.0,800161.0
,256.0,2.0,-2.0,12.0,92.25806451612904,117635000.0,800161.0
,257.0,2.0,-1.0,50.0,67.74193548387096,142842000.0,800161.0
,258.0,2.0,0.0,53.0,65.80645161290323,140644000.0,800161.0
,259.0,2.0,1.0,62.0,60.0,142107000.0,800161.0
,260.0,2.0,2.0,94.0,39.354838709677416,148323000.0,800161.0
,261.0,2.25,-2.0,20.0,87.09677419354838,139545000.0,800161.0
,262.0,2.25,-1.0,61.0,60.645161290322584,140686000.0,800161.0
,263.0,2.25,0.0,70.0,54.83870967741935,144536000.0,800161.0
,264.0,2.25,1.0,78.0,49.67741935483871,144172000.0,800161.0
,265.0,2.25,2.0,120.0,22.580645161290324,140749000.0,800161.0
,266.0,2.5,-2.0,14.0,90.96774193548387,135317000.0,800161.0
,267.0,2.5,-1.0,61.0,60.645161290322584,138649000.0,800161.0
,268.0,2.5,0.0,67.0,56.774193548387096,143682000.0,800161.0
,269.0,2.5,1.0,81.0,47.74193548387097,142646000.0,800161.0
,270.0,2.5,2.0,122.0,21.29032258064516,141967000.0,800161.0
,271.0,2.75,-2.0,15.0,90.3225806451613,134652000.0,800161.0
,272.0,2.75,-1.0,67.0,56.774193548387096,145012000.0,800161.0
,273.0,2.75,0.0,70.0,54.83870967741935,144137000.0,800161.0
,274.0,2.75,1.0,82.0,47.096774193548384,143815000.0,800161.0
,275.0,2.75,2.0,131.0,15.483870967741936,141813000.0,800161.0
,276.0,3.0,-2.0,13.0,91.61290322580645,133469000.0,800161.0
,277.0,3.0,-1.0,61.0,60.645161290322584,142870000.0,800161.0
,278.0,3.0,0.0,72.0,53.54838709677419,142996000.0,800161.0
,279.0,3.0,1.0,78.0,49.67741935483871,142583000.0,800161.0
,280.0,3.0,2.0,134.0,13.548387096774194,143171000.0,800161.0
,281.0,3.25,-2.0,2.0,98.70967741935483,0.0,800161.0
,282.0,3.25,-1.0,42.0,72.90322580645162,142128000.0,800161.0
,283.0,3.25,0.0,51.0,67.09677419354838,144347000.0,800161.0
,284.0,3.25,1.0,59.0,61.935483870967744,142058000.0,800161.0
,285.0,3.25,2.0,108.0,30.322580645161292,144641000.0,800161.0
,286.0,3.5,-2.0,8.0,94.83870967741936,81494000.0,800161.0
,287.0,3.5,-1.0,61.0,60.645161290322584,141085000.0,800161.0
,288.0,3.5,0.0,68.0,56.12903225806452,146321000.0,800161.0
,289.0,3.5,1.0,77.0,50.32258064516129,145026000.0,800161.0
,290.0,3.5,2.0,128.0,17.419354838709676,140833000.0,800161.0
,291.0,3.75,-2.0,2.0,98.70967741935483,0.0,800161.0
,292.0,3.75,-1.0,59.0,61.935483870967744,141540000.0,800161.0
,293.0,3.75,0.0,74.0,52.25806451612903,139517000.0,800161.0
,294.0,3.75,1.0,84.0,45.806451612903224,142121000.0,800161.0
,295.0,3.75,2.0,149.0,3.870967741935484,141169000.0,800161.0
,296.0,4.0,-2.0,2.0,98.70967741935483,0.0,800161.0
,297.0,4.0,-1.0,63.0,59.354838709677416,147119000.0,800161.0
,298.0,4.0,0.0,74.0,52.25806451612903,143836000.0,800161.0
,299.0,4.0,1.0,82.0,47.096774193548384,143136000.0,800161.0
,300.0,4.0,2.0,147.0,5.161290322580645,144081000.0,800161.0
